interview__key,num_prod,Productos,Productos_genericos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos,per_ocupado,per_ocupado2
51-20-82-41,1,"Lácteos, y carnes frías","Lácteos, y carnes frías",100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
30-10-52-13,1,Tortillas,Tortillas,2400,1,,100,1,,1500,"ventas bajas, poca demanda",10,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
30-10-52-13,2,Totopos,Totopos,45,1,,5,1,,60,"pocas ventas, baja demanda",0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
11-37-90-44,2,Jitomate,Jitomate,3750,1,,105,1,,1050,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
11-37-90-44,3,Tomate,Tomate,150,1,,105,1,,840,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
42-75-91-86,1,Galletas,Galletas,15,6,cajas,1,6,caja,200,caducan,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
42-75-91-86,2,Refrescos,Refrescos,10,6,cajones,1,6,cajon,150,mal estado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
89-85-78-54,1,Tortilla 100%,Tortillas,8000,1,,500,1,,7000,Porque no se vendió,-999999999,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
04-34-19-99,1,Carne de res,Carne de res,33800,1,,4680,1,,18720,No venta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-63-62-43,1,Naranjas,Naranjas,1150,1,,360,1,,2880,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-63-62-43,2,Mandarinas,Mandarinas,12000,1,,1260,1,,12600,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-63-62-43,3,Piña,Piña,168,6,Pieza,30,6,pieza,5040,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
09-34-53-08,1,Refrescos,Refrescos,50,6,caja,1,6,caja,100,malas condiciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
09-34-53-08,2,Cerveza,Cerveza,65,6,cartón,1,6,cartón,450,malas condiciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
09-34-53-08,3,Frituras,Frituras,150,6,bolsitas,5,6,bolsitas,50,no se vende,5,6,bolsitas,9,,#NULL!,#NULL!,,1,0 a 5 personas
20-05-46-45,1,Leche,Lácteos,12800,3,,35,3,,385,bolsas de leche rotas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
08-65-81-31,1,Mandarina,Mandarina,15,2,,750,1,,260,venta,750,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
08-65-81-31,2,Plátano,Plátano,260,1,,30,1,,1560,Venta y Descomposición del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
08-65-81-31,3,Durazno,Durazno,720,1,,2,1,,480,Descomposición del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-14-01-21,1,Fresas,Fresas,50,2,,5,2,,4500,se hechan a perder,2,2,,9,,#NULL!,#NULL!,,1,0 a 5 personas
72-04-49-69,1,Legumbres,Legumbres,500,1,,30,1,,700,Se hecha a perder rápido y ya no se puede vender,10,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
72-04-49-69,2,Hiervas,Hiervas,200,1,,10,1,,250,Se pudre con el tiempo o se deshidrata y ya no se vende,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-04-49-69,3,Frutas,Frutas,500,1,,30,1,,1000,se hecha a perder muy rápido,10,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
07-16-71-47,1,Jitomate,Jitomate,372,1,,120,1,,1920,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
07-16-71-47,2,Aguacate,Aguacate,120,1,,3,1,,150,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
07-16-71-47,3,Cilantro,Cilantro,200,6,gramos,100,6,gramos,50,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
07-58-58-23,1,Bistec res,Carne de res,500,1,,30,1,,700,limpieza de carne,15,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
07-58-58-23,2,Bistec cerdo,Carne de cerdo,100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-29-84-61,1,Bistec,Bistec,550,1,,105,1,,400,selección de la carne,105,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
78-29-84-61,2,Longaniza,Longaniza,400,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-29-84-61,3,Queso Oaxaca,Quesos,540,1,,24,1,,1824,"""desuero del queso """"merma""""""",0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,1,Gorditas (varios guisados),Comida preparada,2500,6,Pieza,240,1,,7000,Falta de refrigeración apropiada y el cliente lo deja.,80,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,2,Desayunos (huevo),Comida preparada,640,6,Platillos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,3,Comida corrida,Comida preparada,640,6,Platillos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,4,Aguas frescas,Aguas frescas,1290,6,Vasos (600 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,5,Jugos (frutas de temporada),Jugos (frutas de temporada),380,6,Vasos (600 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
73-06-08-66,6,"Café (de grano, molido)","Café (de grano, molido)",380,6,Vasos (240 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
80-07-60-11,1,Birria,Comida preparada,20000,1,,1500,1,,12000,Echado a perder o los consumidores lo dejan,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
80-07-60-11,2,Pozole,Pozole,18000,3,,1000,3,,10000,se echo a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
80-07-60-11,3,Tacos,Comida preparada,50000,1,,1300,1,,26000,clientes tiran comida,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
80-07-60-11,4,Carne asada,Comida preparada,15000,1,,500,1,,18000,no se vendió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
80-07-60-11,5,Sopes,Comida preparada,18000,1,,100,1,,2500,se echo a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,4,31 a 50 personas
64-89-09-35,1,Tortillas,Tortillas,6000,1,,150,1,,2700,Descuido en la calibración de la máquina,150,1,,11,Los regala a un engordado de cerdos,#NULL!,#NULL!,,1,0 a 5 personas
64-89-09-35,2,Masa,Masa,300,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
02-22-73-77,1,Pollos rostizados,Comida preparada,547,1,,1,6,Porcentaje,100,Pocas ventas o pollo golpeado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
94-39-20-08,1,Tacos,Comida preparada,1000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,2,6 a 10 personas
22-69-64-75,1,Queso,Quesos,50,1,,5,1,,2000,la caducidad,5,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
22-69-64-75,2,Crema,Crema,60,3,,20,1,,2000,la caducidad,10,1,,9,,#NULL!,#NULL!,,1,0 a 5 personas
18-62-71-19,1,Harina,Harina,2,2,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
18-62-71-19,2,Huevo,Huevo,92,1,,15,1,,1000,pzas rotas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
18-62-71-19,3,Azúcar,Azúcar,300,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
09-55-11-13,1,Pollo fresco,Pollo,547,1,,164,1,,5000,que esté golpeado el pollo,164,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
81-30-37-04,1,Tamales,Tamales,2750,6,Pieza,150,6,Pieza,2400,Falta de demanda por cambio de clima (aumentó el calor),125,6,Pieza,3,,125,6,Pieza,1,0 a 5 personas
28-46-36-32,1,Venta de pollo,Pollo,20000,1,,50,1,,15000,por temporada economica,25,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
10-14-92-72,1,Arrachera,Arrachera,150,1,,20,1,,2000,por el manejo de preparación,20,1,,9,,#NULL!,#NULL!,,2,6 a 10 personas
10-14-92-72,2,Carne molida,Carne molida,100,1,,5,1,,800,La preparación,5,1,,9,,#NULL!,#NULL!,,2,6 a 10 personas
10-14-92-72,3,Longaniza,Carnes frías y embutidos,200,1,,20,1,,1000,preparación,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,2,6 a 10 personas
62-92-67-84,1,Comida del día,Comida preparada,1000,6,platillos,30,6,platillos,2550,Falta de clientes,30,6,platillos,9,,#NULL!,#NULL!,,2,6 a 10 personas
88-05-83-73,1,Venta de carne de res,Carne de res,60,1,,5,1,,5000,por la grasa y desperdicio,5,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
44-28-49-31,1,Espinaca,Espinaca,72,1,,16,1,,128,producto maltratado,16,1,,8,,#NULL!,#NULL!,,1,0 a 5 personas
44-28-49-31,2,Brócoli,Brócoli,20,1,,6,1,,60,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
44-28-49-31,3,Lechuga romana,Lechuga,196,6,piezas,25,6,pzas,375,por que vienen agusanadas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
37-12-48-61,1,Pollo,Pollo,3,2,,9,1,,800,falta de venta y exceso de inventario,4,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
37-12-48-61,2,Huevo,Huevo,250,1,,4,1,,80,"piezas rotas, caducidad",0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
93-83-50-31,1,Pollo,Pollo,87360,1,,5460,1,,0,Innecesario,5460,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
77-52-96-70,1,Naranja,Naranja,30,1,,5,1,,150,clima,2,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
77-52-96-70,2,Mandarina,Mandarina,30,1,,10,1,,300,menor venta,5,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
77-52-96-70,3,Guayaba,Guayaba,25,1,,8,1,,300,menor venta,5,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
45-84-84-07,1,Café en grano,Café en grano,3,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
45-84-84-07,2,Pasteles,Pasteles,2,6,pzas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
45-84-84-07,3,Tisanas,Tisanas,3,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
54-69-78-85,1,Pollo,Pollo,1500,1,,100,1,,4000,caducidad,50,1,,8,,#NULL!,#NULL!,,1,0 a 5 personas
63-23-60-25,1,Pollo fresco,Pollo,2000,1,,50,1,,15000,menor venta de pollo,20,1,,10,,#NULL!,#NULL!,,1,0 a 5 personas
12-33-17-05,1,Jitomate,Jitomate,7200,1,,720,1,NA,9125,condiciones climáticas,5,6,porcentaje,9,,#NULL!,#NULL!,,1,0 a 5 personas
12-06-38-41,1,Oaxaca,Oaxaca,150,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
12-06-38-41,2,Queso rayado,Quesos,60,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
12-06-38-41,3,Panela,Quesos,84,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
12-74-49-92,1,Carne de cerdo,Carne de cerdo,600,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,3,11 a 30 personas
12-74-49-92,2,Pollo,Pollo,240,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,3,11 a 30 personas
12-74-49-92,3,Res,Carne de res,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,3,11 a 30 personas
51-24-94-62,1,Pollo,Pollo,100,1,,3,1,,200,falta de venta,2,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,2,Papa,Papa,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,3,Fresa,Fresa,40,1,,5,1,,600,frescura de la fruta,5,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,4,Manzana,Manzana,40,1,,1,1,,50,frescura de la fruta,1,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,5,Plátano,Plátano,35,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,6,Uva,Uva,30,1,,2,1,,200,caducidad,1,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,7,Salchicha,Carnes frías y embutidos,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,8,Queso,Quesos,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
51-24-94-62,9,Arroz,Arroz,15,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-18-21-65,1,Pollo,Pollo,60,1,,2,1,,120,caducidad,1,1,,9,,#NULL!,#NULL!,,1,0 a 5 personas
78-18-21-65,2,Carne de res,Carne de res,90,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-18-21-65,3,Queso,Quesos,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-18-21-65,4,Pan,Pan,250,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
78-18-21-65,5,Verdura,Verduras,200,1,,1,1,,50,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
53-73-04-92,1,Carne de res,Carne de res,500,1,,50,1,,6500,poca venta,0,NA,NA,10,,#NULL!,#NULL!,,1,0 a 5 personas
61-92-75-17,1,Chilaquiles,Comida preparada,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
61-92-75-17,2,Carne de pollo,Pollo,8,1,,1,1,,95,Merma,1,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
61-92-75-17,3,Carne de res,Carne de res,8,1,,1,1,,100,Merma,1,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
61-92-75-17,4,Pan,Pan,60,6,Piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,1,Jitomate,Jitomate,52,1,,15,1,,240,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,2,Cebolla,Cebolla,70,1,,31,1,,496,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,3,Papa,Papa,60,1,,25,1,,250,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,4,Tomate,Tomate,100,1,,15,1,,248,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,5,Calabaza,Calabaza,12,1,,6,1,,90,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
72-91-55-52,6,Tomate,Tomate,100,1,,31,1,,310,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
97-73-87-30,1,Lechuga romana,Lechuga,144,1,,14,1,NA,300,Factores climáticos,7,6,Porciento,8,,#NULL!,#NULL!,,1,0 a 5 personas
36-35-54-94,1,Longaniza,Longaniza,40,1,,8,1,,600,No sé vendio,8,1,,9,,#NULL!,#NULL!,,2,6 a 10 personas
36-35-54-94,2,Tripa,Tripa,200,1,,1,1,,400,No sé vendio,1,1,,9,,#NULL!,#NULL!,,2,6 a 10 personas
20-27-37-35,1,Tortilla de maíz,Tortillas,475,1,,5,1,NA,100,poca venta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
65-10-32-47,1,Migas(caldo),Migas(caldo),450,3,,42,3,,700,No sé vendio todo,450,3,,7,,#NULL!,#NULL!,,1,0 a 5 personas
50-66-00-68,1,Jitomate,Jitomate,728,1,,60,1,,992,merma,60,1,,3,,0,#NULL!,,1,0 a 5 personas
50-66-00-68,2,Ejote,Ejote,155,1,,31,1,,620,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
50-66-00-68,3,Cilantro,Cilantro,46,1,,6,1,,75,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
50-66-00-68,4,Calabaza,Calabaza,125,1,,31,1,,372,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
44-47-19-75,1,Guisados varios,Comida preparada,40,1,,1,1,,200,No sé vendio,1,1,,7,,#NULL!,#NULL!,,1,0 a 5 personas
44-47-19-75,2,Tortillas,Tortillas,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
44-47-19-75,3,Frijoles,Frijoles,5,1,,500,6,gramos,60,No sé vendio,500,6,gramos,7,,#NULL!,#NULL!,,1,0 a 5 personas
60-49-66-43,1,Mojarra,Pescados y mariscos,50,1,,2,1,,220,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
60-49-66-43,2,Cazón,Pescados y mariscos,75,1,,2,1,,150,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
60-49-66-43,3,Camarón,Pescados y mariscos,30,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
25-51-75-31,1,Guayaba,Guayaba,40,1,,8,1,,120,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
31-28-80-45,1,Verduras,Verduras,10,2,,1,2,,10000,depende mucho de la temporada,800,1,,7,,#NULL!,#NULL!,,2,6 a 10 personas
10-44-37-96,1,Huaraches,Comida preparada,140,1,,3,1,,50,No sé vendio,3,1,,7,,#NULL!,#NULL!,,2,6 a 10 personas
10-44-37-96,2,Queso,Quesos,20,1,,1,1,,120,No sé vendio,1,1,,10,,#NULL!,#NULL!,,2,6 a 10 personas
86-24-53-95,1,Paletas,Paletas,10800,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
86-24-53-95,2,Aguas,Aguas,2560,3,,100,3,,3500,por el clima y falta de venta,20,3,,4,,#NULL!,#NULL!,,1,0 a 5 personas
86-24-53-95,3,Helados,Helados,2560,3,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
59-83-90-61,1,Uvas,Uvas,224,1,,2,1,,200,El cambio de clima las termina de cocer más rápido,1,1,,8,,#NULL!,#NULL!,,1,0 a 5 personas
59-83-90-61,2,Peras,Peras,80,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
59-83-90-61,3,Manzana,Manzana,80,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
59-83-90-61,4,Kiwis,Kiwis,32,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
81-56-88-97,1,Naranja,Naranja,350,1,NA,1,1,,80,Debido a que está de temporada y cambia el estado de la fruta,1,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
81-56-88-97,2,Mandarina,Mandarina,350,1,NA,1,1,,20,Debido a que se coce muy rápido,1,1,,6,,#NULL!,#NULL!,,1,0 a 5 personas
81-56-88-97,3,Jitomate,Jitomate,10,6,"caja, 10 kilos",0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,,1,0 a 5 personas
