interview__key,num_prod,Productos,prom_men,u_prom_men,otra_u_prom_men,perdida_prod,u_perdida_prod,otra_u_perdida_prod,din_perd,causa_perd,comestible,u_comestible,otra_u_comestible,dest_res,otro_dest_res,bancos,u_med_bancos,otra_u_med_bancos
07-37-94-62,3,Lechuga romana,30,6,pza,5,6,pza,75,merma (producto quemado por la conservación adeudada),0,#NULL!,,#NULL!,,#NULL!,#NULL!,
07-37-94-62,4,Papa,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-33-58-27,1,Coca Cola,10,6,Rejilla,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-33-58-27,2,Tortillas,50,1,,5,1,,120,No se vende,5,1,,9,,#NULL!,#NULL!,
26-33-58-27,3,Cerveza,20,6,cartones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-33-58-27,4,Frituras,150,6,paquete,5,6,bolsita,60,no se vende,5,6,bolsitas,9,,#NULL!,#NULL!,
26-95-82-33,1,Papas,20,6,cajas,1,6,caja,500,mal manejo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,2,Lechuga,6,6,cajas,10,1,,100,mal manejo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,3,Tomate,4,6,caja,30,6,pieza,100,mal manejo,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,4,Cebolla,3,6,cajas,1,1,,60,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,5,Carnes de res,23,6,cajas,200,6,piezas,700,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,6,Tocino,3,6,cajas,100,6,piezas,150,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,7,Salchichas,1,6,caja,40,6,piezas,250,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,8,Pan,65,6,caja,60,6,piezas,200,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,9,Agua embotellada,4,6,cajas,10,6,piezas,60,desperdicio,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
26-95-82-33,10,Queso amarillo,2,6,cajas,80,6,piezas,120,mal uso,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
20-09-40-61,1,Pollo,540,1,,3,1,,162,No hay ventas,2.5,1,,9,,#NULL!,#NULL!,
20-09-40-61,2,Jitomate,180,1,,10,1,,120,Por falta de venta y putrefacción del producto,8,1,,11,El jitomate que aún sirve lo hace puré para refrigerar y una parte es para uso personal y otra para regalar,#NULL!,#NULL!,
40-31-16-96,1,"Pollo, huevo, verduras",10000,6,Unidades,600,1,,10000,Producto perecedero,300,1,,6,,#NULL!,#NULL!,
91-51-53-80,1,Pierna c/ muslo,800,1,,120,1,,1200,merma,10,1,,9,,#NULL!,#NULL!,
12-21-40-53,1,Pollo entero,2,2,,100,1,,5000,la merma del producto,50,1,,10,,#NULL!,#NULL!,
44-34-82-46,1,Pan,1200,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-34-82-46,2,Carne de res,96,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-34-82-46,3,Jitomate,48,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
31-42-14-83,1,Uva,10,6,cajas,5,6,cajas,500,ventas bajas,5,6,cajas,9,,#NULL!,#NULL!,
74-16-93-20,1,Ala marinada,200,1,,15,1,,600,producto no consumible,6,1,,7,,#NULL!,#NULL!,
83-07-51-12,1,Pollo entero,1000,1,,40,1,,2000,merma,20,1,,8,,#NULL!,#NULL!,
36-24-20-40,1,Jitomate,72,1,,3,1,,34,por que estaba maltratado el producto,1,1,,7,,#NULL!,#NULL!,
36-24-20-40,2,Carne de res,96,1,,4,1,,400,se desbarata a la hora de cocinar y servir,1,1,,7,,#NULL!,#NULL!,
36-24-20-40,3,Pollo,576,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
36-24-20-40,4,Huevo,432,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
25-40-36-43,1,Pollo procesado,10,2,,60,1,,1000,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
49-55-81-49,1,Pechuga de pollo,1000,1,,100,1,,10000,merma,80,1,,6,,#NULL!,#NULL!,
44-35-84-50,1,Retazo o alas,430,1,,300,1,,6000,merma mensual,20,1,,6,,#NULL!,#NULL!,
73-70-08-38,1,Aguacate,24,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-70-08-38,2,Nopal,200,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-70-08-38,3,Limón,66,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
65-87-03-22,1,Jitomate,300,1,,6,1,,350,"producto maltratado, caducidad",2,1,,8,,#NULL!,#NULL!,
65-87-03-22,2,Zanahoria,240,1,,8,1,,200,"no se vendió, caducidad",3,1,,8,,#NULL!,#NULL!,
65-87-03-22,3,Cebolla,200,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
65-87-03-22,4,Calabaza,130,1,,9,1,,250,producto maltratado,2,1,,8,,#NULL!,#NULL!,
65-87-03-22,5,Chayote,180,1,,6,1,,150,caducidad,2,1,,8,,#NULL!,#NULL!,
74-47-57-78,1,"Carnes frías, lácteos, croquetas",4000,1,,300,1,,100000,Perecederos,120,1,NA,9,,#NULL!,#NULL!,
51-20-82-41,1,"Lácteos, y carnes frías",100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
30-10-52-13,1,Tortillas,2400,1,,100,1,,1500,"ventas bajas, poca demanda",10,1,,6,,#NULL!,#NULL!,
30-10-52-13,2,Totopos,45,1,,5,1,,60,"pocas ventas, baja demanda",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
11-37-90-44,2,Jitomate,3750,1,,105,1,,1050,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
11-37-90-44,3,Tomate,150,1,,105,1,,840,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
42-75-91-86,1,Galletas,15,6,cajas,1,6,caja,200,caducan,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
42-75-91-86,2,Refrescos,10,6,cajones,1,6,cajon,150,mal estado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
89-85-78-54,1,Tortilla 100%,8000,1,,500,1,,7000,Porque no se vendió,-999999999,#NULL!,,#NULL!,,#NULL!,#NULL!,
04-34-19-99,1,Carne de res,33800,1,,4680,1,,18720,No venta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-63-62-43,1,Naranjas,1150,1,,360,1,,2880,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-63-62-43,2,Mandarinas,12000,1,,1260,1,,12600,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-63-62-43,3,Piña,168,6,Pieza,30,6,pieza,5040,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
09-34-53-08,1,Refrescos,50,6,caja,1,6,caja,100,malas condiciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
09-34-53-08,2,Cerveza,65,6,cartón,1,6,cartón,450,malas condiciones,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
09-34-53-08,3,Frituras,150,6,bolsitas,5,6,bolsitas,50,no se vende,5,6,bolsitas,9,,#NULL!,#NULL!,
20-05-46-45,1,Leche,12800,3,,35,3,,385,bolsas de leche rotas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
08-65-81-31,1,Mandarina,15,2,,750,1,,260,venta,750,1,,10,,#NULL!,#NULL!,
08-65-81-31,2,Plátano,260,1,,30,1,,1560,Venta y Descomposición del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
08-65-81-31,3,Durazno,720,1,,2,1,,480,Descomposición del producto,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-14-01-21,1,Fresas,50,2,,5,2,,4500,se hechan a perder,2,2,,9,,#NULL!,#NULL!,
72-04-49-69,1,Legumbres,500,1,,30,1,,700,Se hecha a perder rápido y ya no se puede vender,10,1,,7,,#NULL!,#NULL!,
72-04-49-69,2,Hiervas,200,1,,10,1,,250,Se pudre con el tiempo o se deshidrata y ya no se vende,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-04-49-69,3,Frutas,500,1,,30,1,,1000,se hecha a perder muy rápido,10,1,,7,,#NULL!,#NULL!,
07-16-71-47,1,Jitomate,372,1,,120,1,,1920,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
07-16-71-47,2,Aguacate,120,1,,3,1,,150,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
07-16-71-47,3,Cilantro,200,6,gramos,100,6,gramos,50,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
07-58-58-23,1,Bistec res,500,1,,30,1,,700,limpieza de carne,15,1,,10,,#NULL!,#NULL!,
07-58-58-23,2,Bistec cerdo,100,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-29-84-61,1,Bistec,550,1,,105,1,,400,selección de la carne,105,1,,10,,#NULL!,#NULL!,
78-29-84-61,2,Longaniza,400,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-29-84-61,3,Queso Oaxaca,540,1,,24,1,,1824,"""desuero del queso """"merma""""""",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,1,Gorditas (varios guisados),2500,6,Pieza,240,1,,7000,Falta de refrigeración apropiada y el cliente lo deja.,80,1,,7,,#NULL!,#NULL!,
73-06-08-66,2,Desayunos (huevo),640,6,Platillos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,3,Comida corrida,640,6,Platillos,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,4,Aguas frescas,1290,6,Vasos (600 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,5,Jugos (frutas de temporada),380,6,Vasos (600 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
73-06-08-66,6,"Café (de grano, molido)",380,6,Vasos (240 ml),0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,1,Birria,20000,1,,1500,1,,12000,Echado a perder o los consumidores lo dejan,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,2,Pozole,18000,3,,1000,3,,10000,se echo a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,3,Tacos,50000,1,,1300,1,,26000,clientes tiran comida,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,4,Carne asada,15000,1,,500,1,,18000,no se vendió,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
80-07-60-11,5,Sopes,18000,1,,100,1,,2500,se echo a perder,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
64-89-09-35,1,Tortillas,6000,1,,150,1,,2700,Descuido en la calibración de la máquina,150,1,,11,Los regala a un engordado de cerdos,#NULL!,#NULL!,
64-89-09-35,2,Masa,300,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
02-22-73-77,1,Pollos rostizados,547,1,,1,6,Porcentaje,100,Pocas ventas o pollo golpeado,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
94-39-20-08,1,Tacos,1000,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
22-69-64-75,1,Queso,50,1,,5,1,,2000,la caducidad,5,1,,10,,#NULL!,#NULL!,
22-69-64-75,2,Crema,60,3,,20,1,,2000,la caducidad,10,1,,9,,#NULL!,#NULL!,
18-62-71-19,1,Harina,2,2,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-62-71-19,2,Huevo,92,1,,15,1,,1000,pzas rotas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
18-62-71-19,3,Azúcar,300,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
09-55-11-13,1,Pollo fresco,547,1,,164,1,,5000,que esté golpeado el pollo,164,1,,6,,#NULL!,#NULL!,
81-30-37-04,1,Tamales,2750,6,Pieza,150,6,Pieza,2400,Falta de demanda por cambio de clima (aumentó el calor),125,6,Pieza,3,,125,6,Pieza
28-46-36-32,1,Venta de pollo,20000,1,,50,1,,15000,por temporada economica,25,1,,10,,#NULL!,#NULL!,
10-14-92-72,1,Arrachera,150,1,,20,1,,2000,por el manejo de preparación,20,1,,9,,#NULL!,#NULL!,
10-14-92-72,2,Carne molida,100,1,,5,1,,800,La preparación,5,1,,9,,#NULL!,#NULL!,
10-14-92-72,3,Longaniza,200,1,,20,1,,1000,preparación,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
62-92-67-84,1,Comida del día,1000,6,platillos,30,6,platillos,2550,Falta de clientes,30,6,platillos,9,,#NULL!,#NULL!,
88-05-83-73,1,Venta de carne de res,60,1,,5,1,,5000,por la grasa y desperdicio,5,1,,10,,#NULL!,#NULL!,
44-28-49-31,1,Espinaca,72,1,,16,1,,128,producto maltratado,16,1,,8,,#NULL!,#NULL!,
44-28-49-31,2,Brócoli,20,1,,6,1,,60,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-28-49-31,3,Lechuga romana,196,6,piezas,25,6,pzas,375,por que vienen agusanadas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
37-12-48-61,1,Pollo,3,2,,9,1,,800,falta de venta y exceso de inventario,4,1,,6,,#NULL!,#NULL!,
37-12-48-61,2,Huevo,250,1,,4,1,,80,"piezas rotas, caducidad",0,#NULL!,,#NULL!,,#NULL!,#NULL!,
93-83-50-31,1,Pollo,87360,1,,5460,1,,0,Innecesario,5460,1,,10,,#NULL!,#NULL!,
77-52-96-70,1,Naranja,30,1,,5,1,,150,clima,2,1,,10,,#NULL!,#NULL!,
77-52-96-70,2,Mandarina,30,1,,10,1,,300,menor venta,5,1,,10,,#NULL!,#NULL!,
77-52-96-70,3,Guayaba,25,1,,8,1,,300,menor venta,5,1,,10,,#NULL!,#NULL!,
45-84-84-07,1,Café en grano,3,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
45-84-84-07,2,Pasteles,2,6,pzas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
45-84-84-07,3,Tisanas,3,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
54-69-78-85,1,Pollo,1500,1,,100,1,,4000,caducidad,50,1,,8,,#NULL!,#NULL!,
63-23-60-25,1,Pollo fresco,2000,1,,50,1,,15000,menor venta de pollo,20,1,,10,,#NULL!,#NULL!,
12-33-17-05,1,Jitomate,7200,1,,720,1,NA,9125,condiciones climáticas,5,6,porcentaje,9,,#NULL!,#NULL!,
12-06-38-41,1,Oaxaca,150,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-06-38-41,2,Queso rayado,60,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-06-38-41,3,Panela,84,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-74-49-92,1,Carne de cerdo,600,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-74-49-92,2,Pollo,240,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
12-74-49-92,3,Res,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,1,Pollo,100,1,,3,1,,200,falta de venta,2,1,,6,,#NULL!,#NULL!,
51-24-94-62,2,Papa,120,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,3,Fresa,40,1,,5,1,,600,frescura de la fruta,5,1,,7,,#NULL!,#NULL!,
51-24-94-62,4,Manzana,40,1,,1,1,,50,frescura de la fruta,1,1,,7,,#NULL!,#NULL!,
51-24-94-62,5,Plátano,35,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,6,Uva,30,1,,2,1,,200,caducidad,1,1,,7,,#NULL!,#NULL!,
51-24-94-62,7,Salchicha,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,8,Queso,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
51-24-94-62,9,Arroz,15,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-18-21-65,1,Pollo,60,1,,2,1,,120,caducidad,1,1,,9,,#NULL!,#NULL!,
78-18-21-65,2,Carne de res,90,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-18-21-65,3,Queso,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-18-21-65,4,Pan,250,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
78-18-21-65,5,Verdura,200,1,,1,1,,50,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
53-73-04-92,1,Carne de res,500,1,,50,1,,6500,poca venta,0,NA,NA,10,,#NULL!,#NULL!,
61-92-75-17,1,Chilaquiles,50,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
61-92-75-17,2,Carne de pollo,8,1,,1,1,,95,Merma,1,1,,7,,#NULL!,#NULL!,
61-92-75-17,3,Carne de res,8,1,,1,1,,100,Merma,1,1,,7,,#NULL!,#NULL!,
61-92-75-17,4,Pan,60,6,Piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,1,Jitomate,52,1,,15,1,,240,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,2,Cebolla,70,1,,31,1,,496,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,3,Papa,60,1,,25,1,,250,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,4,Tomate,100,1,,15,1,,248,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,5,Calabaza,12,1,,6,1,,90,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
72-91-55-52,6,Tomate,100,1,,31,1,,310,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
97-73-87-30,1,Lechuga romana,144,1,,14,1,NA,300,Factores climáticos,7,6,Porciento,8,,#NULL!,#NULL!,
36-35-54-94,1,Longaniza,40,1,,8,1,,600,No sé vendio,8,1,,9,,#NULL!,#NULL!,
36-35-54-94,2,Tripa,200,1,,1,1,,400,No sé vendio,1,1,,9,,#NULL!,#NULL!,
20-27-37-35,1,Tortilla de maíz,475,1,,5,1,NA,100,poca venta,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
65-10-32-47,1,Migas(caldo),450,3,,42,3,,700,No sé vendio todo,450,3,,7,,#NULL!,#NULL!,
50-66-00-68,1,Jitomate,728,1,,60,1,,992,merma,60,1,,3,,0,#NULL!,
50-66-00-68,2,Ejote,155,1,,31,1,,620,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
50-66-00-68,3,Cilantro,46,1,,6,1,,75,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
50-66-00-68,4,Calabaza,125,1,,31,1,,372,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-47-19-75,1,Guisados varios,40,1,,1,1,,200,No sé vendio,1,1,,7,,#NULL!,#NULL!,
44-47-19-75,2,Tortillas,20,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
44-47-19-75,3,Frijoles,5,1,,500,6,gramos,60,No sé vendio,500,6,gramos,7,,#NULL!,#NULL!,
60-49-66-43,1,Mojarra,50,1,,2,1,,220,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
60-49-66-43,2,Cazón,75,1,,2,1,,150,caducidad,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
60-49-66-43,3,Camarón,30,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
25-51-75-31,1,Guayaba,40,1,,8,1,,120,merma,0,#NULL!,,#NULL!,,#NULL!,#NULL!,
31-28-80-45,1,Verduras,10,2,,1,2,,10000,depende mucho de la temporada,800,1,,7,,#NULL!,#NULL!,
10-44-37-96,1,Huaraches,140,1,,3,1,,50,No sé vendio,3,1,,7,,#NULL!,#NULL!,
10-44-37-96,2,Queso,20,1,,1,1,,120,No sé vendio,1,1,,10,,#NULL!,#NULL!,
86-24-53-95,1,Paletas,10800,6,piezas,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
86-24-53-95,2,Aguas,2560,3,,100,3,,3500,por el clima y falta de venta,20,3,,4,,#NULL!,#NULL!,
86-24-53-95,3,Helados,2560,3,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
59-83-90-61,1,Uvas,224,1,,2,1,,200,El cambio de clima las termina de cocer más rápido,1,1,,8,,#NULL!,#NULL!,
59-83-90-61,2,Peras,80,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
59-83-90-61,3,Manzana,80,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
59-83-90-61,4,Kiwis,32,1,,0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
81-56-88-97,1,Naranja,350,1,NA,1,1,,80,Debido a que está de temporada y cambia el estado de la fruta,1,1,,6,,#NULL!,#NULL!,
81-56-88-97,2,Mandarina,350,1,NA,1,1,,20,Debido a que se coce muy rápido,1,1,,6,,#NULL!,#NULL!,
81-56-88-97,3,Jitomate,10,6,"caja, 10 kilos",0,#NULL!,,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,
